"ID","Nombre de la ocupación","Nivel","Número de Inscritos 2019","Número de Inscritos 2020","Participacion (%)  2019","Participacion (%)  2020","% Variacion    2020  vs  2019","Contribución a la variación"
"1","Miembros del Poder Ejecutivo y Legislativo","Directivo","7","3","0.02","0.02","-5.71","-0.01"
"2","Personal Directivo de la Administración Pública","Directivo","156","72","0.46","0.36","-5.38","-0.25"
"3","Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas","Directivo","12","6","0.04","0.03","-5","-0.02"
"4","Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía","Directivo","31","20","0.09","0.1","-3.55","-0.03"
"5","Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios","Directivo","36","15","0.11","0.08","-5.83","-0.06"
"6","Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción","Directivo","16","11","0.05","0.06","-3.13","-0.01"
"7","Directores y gerentes generales de servicios y procesos de negocio.","Directivo","23","13","0.07","0.07","-4.35","-0.03"
"8","Gerentes Financieros","Directivo","53","33","0.16","0.17","-3.77","-0.06"
"9","Gerentes de Talento Humano","Directivo","42","28","0.12","0.14","-3.33","-0.04"
"10","Gerentes de Compras y Adquisiciones","Directivo","63","35","0.19","0.18","-4.44","-0.08"
"11","Gerentes de Otros Servicios Administrativos","Directivo","240","169","0.71","0.85","-2.96","-0.21"
"12","Gerentes de Seguros, Bienes Raíces y Corretaje Financiero","Directivo","19","5","0.06","0.03","-7.37","-0.04"
"13","Gerentes de Banca, Crédito e Inversiones","Directivo","28","17","0.08","0.09","-3.93","-0.03"
"14","Gerentes de Otros Servicios a las Empresas","Directivo","22","16","0.06","0.08","-2.73","-0.02"
"15","Gerentes de Empresas de Telecomunicaciones","Directivo","9","1","0.03","0.01","-8.89","-0.02"
"16","Gerentes de Servicios de Correo y Mensajería","Directivo","6","0","0.02",,"-10","-0.02"
"17","Gerentes de Ingeniería","Directivo","81","41","0.24","0.21","-4.94","-0.12"
"18","Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas","Directivo","6","6","0.02","0.03","0","0"
"19","Gerentes de Sistemas de Información y Procesamiento de Datos","Directivo","92","19","0.27","0.1","-7.93","-0.22"
"20","Gerentes de Servicios a la Salud","Directivo","71","65","0.21","0.33","-0.85","-0.02"
"21","Gerentes de Programas de Política Social y de Salud","Directivo","0","0",,,,
"22","Gerentes de Programas de Política de Desarrollo Económico","Directivo","16","12","0.05","0.06","-2.5","-0.01"
"23","Gerentes de Programas de Política Educativa","Directivo","2","1","0.01","0.01","-5","0"
"24","Otros Gerentes de Administración Pública","Directivo","6","1","0.02","0.01","-8.33","-0.01"
"25","Administradores de Educación Superior y Formación para el Trabajo","Directivo","63","19","0.19","0.1","-6.98","-0.13"
"26","Directores y Administradores de Educación Básica y Media","Directivo","50","29","0.15","0.15","-4.2","-0.06"
"27","Gerentes de Servicios Social, Comunitario y Correccional","Directivo","4","2","0.01","0.01","-5","-0.01"
"28","Gerentes de Biblioteca, Museo y Galería de Arte","Directivo","26","3","0.08","0.02","-8.85","-0.07"
"29","Gerentes de Medios de Comunicación y Artes Escénicas","Directivo","81","83","0.24","0.42","0.25","0.01"
"30","Directores de Programas de Esparcimiento y Administradores de Deportes","Directivo","318","49","0.94","0.25","-8.46","-0.79"
"31","Gerentes de Ventas, Mercadeo y Publicidad","Directivo","316","306","0.93","1.53","-0.32","-0.03"
"32","Gerentes de Comercio Exterior","Directivo","16","21","0.05","0.11","3.13","0.01"
"33","Gerentes de Comercio al Por Menor","Directivo","28","19","0.08","0.1","-3.21","-0.03"
"34","Gerentes de Restaurantes y Servicios de Alimentos","Directivo","13","8","0.04","0.04","-3.85","-0.01"
"35","Gerentes de Servicios Hoteleros","Directivo","119","76","0.35","0.38","-3.61","-0.13"
"36","Oficiales de las Fuerzas Militares","Directivo","205","50","0.6","0.25","-7.56","-0.46"
"37","Oficiales de Policía","Directivo","24","16","0.07","0.08","-3.33","-0.02"
"38","Oficiales de Bomberos","Directivo","40","5","0.12","0.03","-8.75","-0.1"
"39","Oficiales del Cuerpo de Custodia y Vigilancia","Directivo","10","5","0.03","0.03","-5","-0.01"
"40","Gerentes de Otros Servicios","Directivo","181","91","0.53","0.46","-4.97","-0.27"
"41","Gerentes de Producción Primaria (excepto agricultura)","Directivo","4","19","0.01","0.1","37.5","0.04"
"42","Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero","Directivo","199","137","0.59","0.69","-3.12","-0.18"
"43","Gerentes de Construcción","Directivo","47","56","0.14","0.28","1.91","0.03"
"44","Gerentes de Transporte y Distribución","Directivo","14","15","0.04","0.08","0.71","0"
"45","Gerentes de Logística","Directivo","379","214","1.12","1.07","-4.35","-0.49"
"46","Gerentes Cadena de Suministro","Directivo","17","19","0.05","0.1","1.18","0.01"
"47","Gerentes de Operación de Instalaciones Físicas","Directivo","62","48","0.18","0.24","-2.26","-0.04"
"48","Gerentes de Mantenimiento","Directivo","40","25","0.12","0.13","-3.75","-0.04"
"49","Gerentes de Producción Industrial","Directivo","44","46","0.13","0.23","0.45","0.01"
"50","Gerentes de Empresas de Servicios Públicos","Directivo","53","47","0.16","0.24","-1.13","-0.02"
"51","Contadores","Profesional","559","508","0.19","0.23","-0.91","-0.02"
"52","Analistas, Asesores y Agentes de Mercado Financiero","Profesional","755","186","0.26","0.08","-7.54","-0.19"
"53","Auditores Financieros y Contables","Profesional","164","131","0.06","0.06","-2.01","-0.01"
